,rating,mpa,num_reviewer,region,time,rr
103,8.225737127,0,665961.0,0,170,3.123946966666667
104,8.225325666,2,319928.0,0,129,0.299573
105,8.224744751,3,1057931.0,0,96,4.200566297142857
106,8.224735892,3,267243.0,0,129,28.363636363636363
107,8.221126446,1,247762.0,14,123,45.852152
108,8.220930223,5,176831.0,3,153,0.9470473161948894
109,8.219031212,0,850268.0,0,114,21.977616923076923
110,8.218371878,0,588898.0,0,138,3.6061982857142856
111,8.21835172,1,549740.0,0,130,8.785246223529413
112,8.217682417,0,894790.0,0,132,5.057257035714286
113,8.216910709,0,866628.0,8,102,9.162047368421051
114,8.216694781,1,764465.0,0,127,9.878579291666666
115,8.215706919,5,165958.0,2,89,3.28312030075188
116,8.212373631,3,196275.0,10,165,7.545468798672389
117,8.21112995,0,608892.0,8,119,4.047157263157895
118,8.20322189,0,359825.0,3,156,5.095719955776672
119,8.200063792,5,195031.0,10,161,29.120195206136145
120,8.198899209,0,260540.0,2,132,25.0
121,8.197203712,1,1488801.0,0,140,2.4911532866666666
122,8.190779615,6,128231.0,0,68,21.8
123,8.190207111,6,271112.0,0,121,16.99118677544725
124,8.181860379,1,162473.0,8,97,4.055306166666667
125,8.180031249,6,132965.0,0,138,6.0
126,8.177986563,0,1441053.0,0,183,4.06878233
127,8.177613732,1,507989.0,0,130,13.989245913043478
128,8.171861219,2,78956.0,0,179,5.333333333333333
129,8.164402595,0,127749.0,5,162,0.3621115652173913
130,8.163932454,0,528892.0,0,178,2.2329302884615383
131,8.161261264,3,1102320.0,0,103,4.401970016666667
132,8.160495396,0,596157.0,0,158,3.04729552
133,8.160425186,0,676343.0,15,118,4.413791157894737
134,8.158634392,0,417192.0,0,130,11.053319375
135,8.154623959,1,1003233.0,0,107,16.8201608
136,8.153292952,0,1341345.0,0,138,3.6850712125
137,8.150851413,1,942854.0,0,135,5.461918224137931
138,8.149414126,1,1003343.0,0,127,17.615909857142857
139,8.147096649,6,126656.0,0,126,1.6713333333333331
140,8.14540281,3,547826.0,8,91,4.178907230656278
141,8.140166414,0,989918.0,0,122,6.86509736
142,8.139766017,2,247722.0,0,172,0.0570445
143,8.139010705,0,1129866.0,0,111,6.030202533333333
144,8.137935016,5,171198.0,5,88,3.571428571428572
145,8.135350248,1,778730.0,0,148,9.609235555
146,8.133870847,0,433209.0,0,109,1.3088476666666666
147,8.131360969,4,1056581.0,0,100,10.017425106382978
148,8.126889898,3,245403.0,0,124,5.204772
149,8.125401742,0,331700.0,0,130,4.870989166666667
150,8.122848724,0,359404.0,0,129,1.3001348333333334
151,8.122476111,0,1132916.0,0,132,2.494193648148148
152,8.121757586,6,319959.0,0,238,101.17731782750818
153,8.120085448,0,590151.0,8,107,2.355628137550201
154,8.119813209,3,726733.0,0,95,4.907702965714286
